# City list for Yellow Pages scraping
# Tier: top100
# Total cities: 100
# Format: City, ST

Jacksonville, FL
Miami, FL
Tampa, FL
Orlando, FL
St. Petersburg, FL
Hialeah, FL
Port St. Lucie, FL
Cape Coral, FL
Tallahassee, FL
Fort Lauderdale, FL
Pembroke Pines, FL
Hollywood, FL
Miramar, FL
Coral Springs, FL
Clearwater, FL
Palm Bay, FL
Lakeland, FL
Pompano Beach, FL
West Palm Beach, FL
Davie, FL
New York, NY
Buffalo, NY
Rochester, NY
Yonkers, NY
Syracuse, NY
Albany, NY
New Rochelle, NY
Mount Vernon, NY
Schenectady, NY
Utica, NY
White Plains, NY
Hempstead, NY
Troy, NY
Niagara Falls, NY
Binghamton, NY
Houston, TX
San Antonio, TX
Dallas, TX
Austin, TX
Fort Worth, TX
El Paso, TX
Arlington, TX
Corpus Christi, TX
Plano, TX
Laredo, TX
Lubbock, TX
Garland, TX
Irving, TX
Amarillo, TX
Grand Prairie, TX
McKinney, TX
Frisco, TX
Pasadena, TX
Killeen, TX
McAllen, TX
Philadelphia, PA
Pittsburgh, PA
Allentown, PA
Erie, PA
Reading, PA
Scranton, PA
Bethlehem, PA
Lancaster, PA
Harrisburg, PA
Altoona, PA
York, PA
State College, PA
Wilkes-Barre, PA
Chicago, IL
Aurora, IL
Naperville, IL
Joliet, IL
Rockford, IL
Springfield, IL
Elgin, IL
Peoria, IL
Champaign, IL
Waukegan, IL
Cicero, IL
Bloomington, IL
Decatur, IL
Evanston, IL
Columbus, OH
Cleveland, OH
Cincinnati, OH
Toledo, OH
Akron, OH
Dayton, OH
Parma, OH
Canton, OH
Youngstown, OH
Lorain, OH
Hamilton, OH
Springfield, OH
Kettering, OH
Elyria, OH
Atlanta, GA
Augusta, GA
Columbus, GA
Macon, GA
